Zcand_m,Zcand_recoil_m,Zcand_q
91.90897,126.73473,0
85.08633,122.90665,0
87.5668,130.80272,0
91.41894,139.84843,0
89.76001,143.03543,0
88.962074,129.07455,0
96.3745,122.66045,0
89.95098,127.55255,0
88.87417,129.00159,0
90.801216,125.74202,0
91.983315,124.17145,0
90.66224,126.38561,0
95.804756,128.8832,0
88.88903,140.82928,0
91.119095,126.12779,0
92.07368,135.05138,0
91.369446,126.06391,0
89.12632,131.02025,0
89.34361,127.85706,0
92.687935,125.76426,0
92.81571,125.64483,0
90.22244,127.56872,0
88.49296,130.03793,0
84.44488,132.7574,0
91.26864,129.90874,0
82.8731,150.20506,0
86.45654,130.84756,0
90.49735,128.00458,0
89.473526,128.65666,0
95.31354,127.23255,0
86.499664,130.33022,0
91.89399,111.11969,0
89.42675,127.92701,0
97.26395,122.8857,0
90.17126,132.15717,0
88.61723,131.54271,0
89.11415,144.64413,0
91.64877,125.72755,0
91.65422,127.049324,0
85.605804,134.76984,0
90.53434,131.55418,0
91.879425,126.766945,0
93.015884,126.47477,0
93.67758,126.38519,0
90.35777,128.80095,0
90.95137,141.10562,0
80.58888,152.64156,0
92.95305,124.57146,0
84.23931,131.2228,0
93.28665,130.18217,0
94.99678,124.13434,0
91.39083,127.179276,0
90.223206,127.15437,0
93.9723,123.60625,0
90.7514,118.90458,0
90.92886,128.47205,0
92.91965,124.82264,0
90.714935,126.760155,0
91.21462,110.38824,0
89.354744,130.09476,0
90.50699,111.671776,0
95.07001,123.71816,0
94.856094,123.528496,0
90.85116,126.32643,0
96.56083,124.64694,0
91.12421,126.18016,0
86.53983,130.69482,0
90.48479,128.8397,0
92.986,124.57502,0
90.03265,130.32027,0
91.71765,126.2722,0
91.88716,125.816795,0
93.10478,126.00089,0
92.10966,108.350365,0
92.6437,120.0878,0
91.15731,124.88098,0
94.28067,118.541916,0
80.83746,151.31592,0
90.91203,126.20077,0
96.163124,131.85573,0
88.75958,128.53581,0
91.842995,126.308556,0
90.85144,129.91214,0
91.48748,141.1433,0
95.660805,123.132866,0
93.25934,115.553635,0
90.47552,108.84044,0
90.38467,125.34836,0
83.78808,143.81792,0
90.81564,126.67669,0
95.81733,127.4752,0
91.731445,126.523056,0
93.01853,136.21689,0
91.06321,126.3395,0
90.307724,127.90792,0
90.500046,127.2169,0
93.3235,107.99414,0
80.551994,142.53278,0
88.28832,130.26367,0
89.51906,127.76858,0
91.735085,129.75616,0
93.030266,124.93769,0
94.669235,125.31656,0
91.79447,127.40601,0
93.496605,123.33641,0
